"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"cmCD8+T","cDC2","MIF","CD74_CXCR4",0.131697427743879,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"emraCD8+T","cDC2","MIF","CD74_CXCR4",0.0619113438114075,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"gdT","cDC2","MIF","CD74_CXCR4",0.0641343224443628,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"hCD4+T","cDC2","MIF","CD74_CXCR4",0.0591300567512035,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","cDC2","MIF","CD74_CXCR4",0.128882734880032,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD8+T","cDC2","MIF","CD74_CXCR4",0.147982860341971,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD16+Mono","cmCD8+T","MIF","CD74_CXCR4",0.0860557489520971,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","cmCD8+T","MIF","CD74_CXCR4",0.23187578348225,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","cmCD8+T","MIF","CD74_CXCR4",0.182627735107903,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","cmCD8+T","MIF","CD74_CXCR4",0.246323993371736,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
